Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.106843180359561,0.070180782841656,-0.118895830220823,0,0,0,2.99191239326413,0.00577434141810587,-4.20907186191921E-07,-3.47527459967526E-07,0.011550734226256,1.73717670313716E-05,0.00655109006219454,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140331,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056395E-08,-1.56454773175215E-07,1.62632133784213E-05,2.96411876511187E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,0.204406433684605,0.0540436140506676,-0.0145027479853973,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,3.46944695195361E-18,0,0,0,0.767080911081153,0.00116426102407189,4.45758864315272E-22,-1.82994146746971E-20,0.000639661580367031,-1.35525271560688E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.00679803845222953,0.0150436140506676,-1.62639053095063,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056318E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510415E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.0207840297098062,0.103073017420291,0.00278439186905151,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.767080911081152,0.00116426102407189,-1.2315168370675E-36,0,0.000639661580367031,8.00462841683584E-39,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.0369687639379516,-0.0240836054314246,0.0640730174202912,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-3.54143714353938E-10,-0.0259601646992602,-8.55974152669248E-10,0,0,0,0.109625704314989,9.47070510683515E-05,-7.13314131943574E-13,1.3631850496113E-13,7.1990527735735E-05,-4.59244589930395E-12,9.47424928023496E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,fixed,0.250002793647758,0.201999999999999,0.00877423729812917,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
LBW,-6.93889390390723E-18,6.67409058084933E-05,-2.77555756156289E-17,0,0,0,0.303329317514427,0.0001093198860322,1.17108889725839E-37,0,0.000109926544667228,-3.95643608811853E-38,0.0001093198860322,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.055074,0,0,-0.31141,-1.5708,LBS,0,1,0,,,,,,,,,,,,
RBS,-3.54143658842787E-10,-0.0259601646992602,-8.55974152669248E-10,0,0,0,0.10962570431499,9.47070510683515E-05,-7.13314095114351E-13,1.36318500444295E-13,7.19905277357352E-05,-4.59244589990245E-12,9.47424928023499E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,fixed,-0.0400027936477574,0.201999999999999,0.00877423729812904,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
RBW,6.93889390390723E-18,-6.93889390390723E-18,-2.77555756156289E-17,0,0,0,0.303329317514427,0.0001093198860322,3.09723775777832E-39,7.04182919818751E-41,0.000109926544667228,1.94881499106946E-40,0.0001093198860322,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.055074,0,0,0,-1.5708,RBS,0,1,0,,,,,,,,,,,,
fcam,-0.0115544748364736,-2.64465387675439E-06,0.00129029247135962,0,0,0,0.0436119959942911,2.35707065122405E-05,-1.01829059070973E-09,2.17588141159288E-08,4.29479081637285E-06,-8.85096908086357E-10,2.2105815376411E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.105,0.0013073,0.15514,0,0.087266,-1.5708,base_link,0,0,0,,,,,,,,,,,,
